# frame_index,read_ok,t_before_read_ns,t_after_read_ns
198,1,7620486193247,7620508196669
199,1,7620508201588,7620529768046
200,1,7620529774581,7620551675668
201,1,7620551698040,7620572797486
202,1,7620572803533,7620582508521
203,1,7620582511937,7620603817438
204,1,7620603822728,7620624939782
205,1,7620624961734,7620634557853
206,1,7620634563013,7620656046480
207,1,7620656051562,7620677720767
208,1,7620677726958,7620699217246
209,1,7620699222500,7620707918691
210,1,7620707923668,7620741755728
211,1,7620741761474,7620751586648
212,1,7620751591073,7620773307302
213,1,7620773313529,7620794908326
214,1,7620794914367,7620816643352
215,1,7620816652143,7620838135805
216,1,7620838141345,7620847317891
217,1,7620847323897,7620869022276
218,1,7620869027843,7620890624907
219,1,7620890630357,7620906105705
220,1,7620906109748,7620931558516
221,1,7620931563584,7620952976940
222,1,7620952982732,7620962120838
223,1,7620962125127,7620985940860
224,1,7620985946550,7621008244877
225,1,7621008250432,7621017651765
226,1,7621017656097,7621038007980
227,1,7621038013636,7621057811969
228,1,7621057818437,7621077389952
229,1,7621077395449,7621097617077
230,1,7621097622626,7621128271978
231,1,7621128277252,7621137732801
232,1,7621137738731,7621168809481
233,1,7621168817348,7621178310682
234,1,7621178315583,7621195767725
235,1,7621195773882,7621220445327
236,1,7621220450762,7621249191020
237,1,7621249195933,7621258147274
238,1,7621258151090,7621288582044
239,1,7621288587497,7621297767671
240,1,7621297772019,7621316801853
241,1,7621316807430,7621344101713
242,1,7621344108603,7621368166330
243,1,7621368171240,7621377820062
244,1,7621377826333,7621408542160
245,1,7621408548212,7621417275665
246,1,7621417278783,7621435755297
247,1,7621435760911,7621468587654
248,1,7621468593575,7621478095737
249,1,7621478100814,7621508127945
250,1,7621508134390,7621517285641
251,1,7621517289606,7621548364857
252,1,7621548370506,7621557502546
253,1,7621557524504,7621588615741
254,1,7621588621513,7621598066524
255,1,7621598071005,7621628674444
256,1,7621628679881,7621638034697
257,1,7621638040171,7621658185383
258,1,7621658192800,7621688517576
259,1,7621688524348,7621699960815
260,1,7621699966245,7621726734845
261,1,7621726741967,7621753646546
262,1,7621753656444,7621762725206
263,1,7621762729220,7621779990013
264,1,7621779996432,7621801010057
265,1,7621801033182,7621832340122
266,1,7621832346739,7621841904637
