frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,17530939617084,17530958242574
1,1,17530958251470,17530978605129
2,1,17530978611638,17530997514329
3,1,17530997519274,17531018503778
4,1,17531018507862,17531039722412
5,1,17531039727813,17531058244564
6,1,17531058248915,17531077835955
7,1,17531077840528,17531097670238
8,1,17531097676299,17531117641021
9,1,17531117647092,17531137798669
10,1,17531137803927,17531157682829
11,1,17531157688388,17531177687090
12,1,17531177693092,17531197769846
13,1,17531197775419,17531217629766
14,1,17531217655242,17531237792829
15,1,17531237798452,17531257247949
16,1,17531257253129,17531277795446
17,1,17531277802431,17531301825604
18,1,17531301831253,17531321795977
19,1,17531321801517,17531341685105
20,1,17531341691265,17531361883321
21,1,17531361888733,17531381544889
22,1,17531381551195,17531401890680
23,1,17531401896534,17531421584656
24,1,17531421590668,17531441773544
25,1,17531441779525,17531461640510
26,1,17531461646495,17531483317831
27,1,17531483322048,17531501680927
28,1,17531501686923,17531521816148
29,1,17531521821676,17531541637958
30,1,17531541643820,17531561607659
31,1,17531561613150,17531581725706
32,1,17531581732107,17531601522104
33,1,17531601528197,17531621739067
34,1,17531621744538,17531641776910
35,1,17531641782594,17531661401910
36,1,17531661406951,17531681628763
37,1,17531681634655,17531701538098
38,1,17531701542764,17531722020739
39,1,17531722036332,17531741833026
40,1,17531741838860,17531761773308
41,1,17531761779953,17531781872401
42,1,17531781878297,17531801626467
43,1,17531801631775,17531821460077
44,1,17531821466263,17531841485297
45,1,17531841505666,17531861667068
46,1,17531861671921,17531881646491
47,1,17531881651815,17531901767639
48,1,17531901772562,17531921765897
49,1,17531921771811,17531941982982
50,1,17531941989695,17531961844232
51,1,17531961849357,17531981534794
52,1,17531981539192,17532001836142
53,1,17532001842595,17532021519702
54,1,17532021525001,17532041653894
55,1,17532041659056,17532065753198
56,1,17532065758844,17532085764475
57,1,17532085770201,17532106164961
58,1,17532106177613,17532125805056
59,1,17532125810107,17532145687050
