frame_index,t_monotonic_ns
0,141899182596804
1,141899204240726
2,141899222596817
3,141899242405817
4,141899262799718
5,141899282604566
6,141899306353860
7,141899326166679
8,141899346252410
9,141899366015791
10,141899386250745
11,141899406023498
12,141899426155246
13,141899445921699
14,141899466038183
15,141899486251570
16,141899506142145
17,141899526398166
18,141899546267265
19,141899565919279
20,141899586025322
21,141899605896288
22,141899625998479
23,141899645888561
24,141899666166364
25,141899686121138
26,141899706317162
27,141899726274266
28,141899746405207
29,141899766674592
30,141899786617587
31,141899810406215
32,141899830548067
33,141899850450252
34,141899870716572
35,141899890639971
36,141899910668914
37,141899930461020
38,141899951336324
39,141899970534295
40,141899990689409
41,141900012705076
42,141900031016143
43,141900056252905
44,141900075694508
45,141900091922177
46,141900110406108
47,141900130243528
48,141900150501856
49,141900170226497
50,141900190375564
51,141900210327863
52,141900230282075
53,141900250277736
54,141900271678229
55,141900290290506
56,141900314276041
57,141900334169707
58,141900354212221
59,141900374089165
60,141900394208761
61,141900414114485
62,141900434223091
63,141900454156593
64,141900474275437
65,141900494243976
66,141900514648145
67,141900534304905
68,141900554454908
69,141900574113973
70,141900594454581
71,141900614304595
72,141900634724491
73,141900654244289
74,141900674334386
75,141900694348470
76,141900714394778
77,141900734412698
78,141900754396949
79,141900774656148
80,141900794596162
81,141900818431449
82,141900838642790
83,141900858330534
84,141900878429226
85,141900898237252
86,141900918610397
87,141900938521201
88,141900958384396
89,141900978172661
90,141900998439708
91,141901018508112
92,141901039208451
93,141901058456104
94,141901078563015
95,141901098411110
96,141901118640104
97,141901138540035
98,141901158608755
99,141901178384877
100,141901198606571
101,141901218424845
102,141901238761623
103,141901258407648
104,141901278730064
105,141901298394301
106,141901322603031
107,141901342444132
108,141901362533514
109,141901382744242
110,141901402655281
111,141901422459687
112,141901442694507
113,141901462391870
114,141901482611534
115,141901502372366
116,141901522845932
117,141901542683176
118,141901562670562
119,141901582331334
120,141901602542294
121,141901622350572
122,141901642745404
123,141901662302870
124,141901682463489
125,141901702293791
126,141901722478395
127,141901742553739
128,141901762448986
129,141901782384540
130,141901802526878
131,141901826264395
132,141901846682877
133,141901866231779
134,141901886438619
135,141901906214136
136,141901926405673
137,141901947308504
138,141901966402038
139,141901986262923
140,141902006587830
141,141902026736210
142,141902046788812
143,141902066290903
144,141902086466390
145,141902106266095
146,141902126786356
147,141902146625961
148,141902166547800
149,141902186301424
150,141902206526816
151,141902226287667
152,141902246677701
153,141902266265325
154,141902286798279
155,141902306536354
156,141902334256756
157,141902350509266
158,141902370599364
159,141902390292054
160,141902410524025
161,141902430343238
162,141902450677651
163,141902470369685
164,141902490846959
165,141902510402606
166,141902531598459
167,141902550677364
168,141902570702024
169,141902590412100
170,141902610569424
171,141902630348838
172,141902650817706
173,141902670335425
174,141902690727813
175,141902710330848
176,141902730564105
177,141902750699298
178,141902770548414
