# frame_index,read_ok,t_before_read_ns,t_after_read_ns
198,1,30090776590081,30090796171216
199,1,30090796176308,30090816168728
200,1,30090816173330,30090836238021
201,1,30090836244504,30090856116853
202,1,30090856121887,30090876286640
203,1,30090876291257,30090896115022
204,1,30090896118392,30090916345189
205,1,30090916361569,30090940189259
206,1,30090940193667,30090960211830
207,1,30090960216936,30090980236044
208,1,30090980240698,30091000229727
209,1,30091000234332,30091020105066
210,1,30091020109697,30091040224438
211,1,30091040228983,30091060125042
212,1,30091060129590,30091080234650
213,1,30091080239431,30091099998821
214,1,30091100020653,30091120257856
215,1,30091120263509,30091140104821
216,1,30091140109509,30091160126924
217,1,30091160132128,30091180251333
218,1,30091180255903,30091200240523
219,1,30091200245682,30091220209715
220,1,30091220214571,30091240247358
221,1,30091240252098,30091259826975
222,1,30091259831625,30091279918862
223,1,30091279923544,30091299847078
224,1,30091299852126,30091320146080
225,1,30091320150220,30091339871361
226,1,30091339876480,30091360165997
227,1,30091360171148,30091380210602
228,1,30091380215140,30091399809704
229,1,30091399813852,30091420329635
230,1,30091420334316,30091440414577
231,1,30091440419163,30091460270735
232,1,30091460275702,30091480312267
233,1,30091480318319,30091500245169
234,1,30091500249884,30091520244928
235,1,30091520250123,30091540172281
236,1,30091540176869,30091560290895
237,1,30091560295782,30091580235237
238,1,30091580240331,30091600294741
239,1,30091600299346,30091620150672
240,1,30091620155265,30091640276812
241,1,30091640281516,30091660197073
242,1,30091660201801,30091680202927
243,1,30091680207267,30091704194831
244,1,30091704199308,30091724269328
245,1,30091724274477,30091744238335
246,1,30091744242863,30091764262659
247,1,30091764267887,30091784206464
248,1,30091784211419,30091804212930
249,1,30091804217596,30091824167950
250,1,30091824187432,30091844213157
251,1,30091844218386,30091864196112
252,1,30091864201474,30091884285727
253,1,30091884290535,30091903758149
254,1,30091903762516,30091924335662
255,1,30091924340319,30091944334082
256,1,30091944339701,30091964314009
257,1,30091964319186,30091984242658
258,1,30091984248171,30092004081709
259,1,30092004090580,30092024888816
260,1,30092024893920,30092044137642
261,1,30092044143549,30092063928386
262,1,30092063933738,30092084174196
263,1,30092084179750,30092104041761
264,1,30092104048020,30092124341345
265,1,30092124359346,30092144212623
266,1,30092144217911,30092164267786
267,1,30092164273216,30092184238230
268,1,30092184243875,30092204155652
269,1,30092204162396,30092224144419
270,1,30092224149950,30092244210160
271,1,30092244215452,30092264144342
272,1,30092264149555,30092284037380
273,1,30092284043115,30092304082603
274,1,30092304088229,30092324239066
275,1,30092324244628,30092343809659
276,1,30092343814831,30092363989816
277,1,30092363997848,30092384201325
278,1,30092384206820,30092403846817
279,1,30092403851827,30092424135985
280,1,30092424141301,30092448263531
281,1,30092448269028,30092467792958
282,1,30092467797578,30092488261805
283,1,30092488267100,30092508039843
284,1,30092508048223,30092528027717
285,1,30092528036792,30092548196056
286,1,30092548201248,30092568235299
287,1,30092568240375,30092588198473
288,1,30092588203773,30092608177586
289,1,30092608183554,30092628252664
290,1,30092628259009,30092648441148
291,1,30092648445704,30092668131628
292,1,30092668136408,30092688353088
293,1,30092688358433,30092708201094
294,1,30092708206810,30092728257052
295,1,30092728262525,30092748215103
296,1,30092748220615,30092768264843
297,1,30092768270147,30092788301253
298,1,30092788305685,30092808174162
299,1,30092808179402,30092828215972
300,1,30092828235763,30092848192519
301,1,30092848197684,30092868084476
302,1,30092868089887,30092887963149
303,1,30092887968500,30092907771012
304,1,30092907776518,30092928102635
305,1,30092928107305,30092947776401
306,1,30092947781468,30092968223014
307,1,30092968228124,30092988197013
308,1,30092988202254,30093008173337
309,1,30093008179966,30093028220158
310,1,30093028225360,30093048273747
311,1,30093048279111,30093067975792
312,1,30093067981027,30093088360376
313,1,30093088365386,30093108213545
314,1,30093108219197,30093128357758
315,1,30093128363098,30093148284066
316,1,30093148289460,30093168191597
